Precinct,Total Voter Turnout,Total Registered Voters,Turnout,Election,Year
1,1071,2949,0.36,Charter,2017
2,1132,3174,0.36,Charter,2017
3,748,2507,0.3,Charter,2017
4,1120,2793,0.4,Charter,2017
5,998,2731,0.37,Charter,2017
6,943,2743,0.34,Charter,2017
7,790,2522,0.31,Charter,2017
8,775,2579,0.3,Charter,2017
9,444,2028,0.22,Charter,2017
10,240,1839,0.13,Charter,2017
11,1051,2914,0.36,Charter,2017
12,410,1535,0.27,Charter,2017
13,497,2030,0.24,Charter,2017
14,247,1661,0.15,Charter,2017
15,362,1735,0.21,Charter,2017
16,143,1121,0.13,Charter,2017
17,72,1373,0.05,Charter,2017
18,298,1676,0.18,Charter,2017
Total,11341,39910,0.2842,Charter,2017
