precinct,total_voter_turnout,total_registered_voters,turnout,election,year
1,1373,2918,47.1,General,2017
2,1478,3235,45.7,General,2017
3,1027,2502,41,General,2017
4,1469,2796,52.5,General,2017
5,1232,2742,44.9,General,2017
6,1305,2759,47.3,General,2017
7,1102,2538,43.4,General,2017
8,1092,2577,42.4,General,2017
9,637,2023,31.5,General,2017
10,387,1856,20.9,General,2017
11,1431,2920,49,General,2017
12,569,1570,36.2,General,2017
13,731,2058,35.5,General,2017
14,377,1693,22.3,General,2017
15,591,1751,33.8,General,2017
16,250,1127,22.2,General,2017
17,207,1404,14.7,General,2017
18,476,1693,28.1,General,2017
