Candidate,Precinct,Votes,Race,Year,Election
Blanks,1,526,AtLarge,2017,Preliminary
Cheryl Tully Stoll,1,500,AtLarge,2017,Preliminary
Pablo Maia,1,51,AtLarge,2017,Preliminary
"George P. King, Jr.",1,345,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",1,79,AtLarge,2017,Preliminary
Christine A. Long,1,430,AtLarge,2017,Preliminary
Write-Ins,1,11,AtLarge,2017,Preliminary
Blanks,2,523,AtLarge,2017,Preliminary
Cheryl Tully Stoll,2,503,AtLarge,2017,Preliminary
Pablo Maia,2,57,AtLarge,2017,Preliminary
"George P. King, Jr.",2,302,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",2,70,AtLarge,2017,Preliminary
Christine A. Long,2,526,AtLarge,2017,Preliminary
Write-Ins,2,9,AtLarge,2017,Preliminary
Blanks,3,179,AtLarge,2017,Preliminary
Cheryl Tully Stoll,3,357,AtLarge,2017,Preliminary
Pablo Maia,3,78,AtLarge,2017,Preliminary
"George P. King, Jr.",3,242,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",3,65,AtLarge,2017,Preliminary
Christine A. Long,3,386,AtLarge,2017,Preliminary
Write-Ins,3,15,AtLarge,2017,Preliminary
Blanks,4,548,AtLarge,2017,Preliminary
Cheryl Tully Stoll,4,648,AtLarge,2017,Preliminary
Pablo Maia,4,49,AtLarge,2017,Preliminary
"George P. King, Jr.",4,264,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",4,110,AtLarge,2017,Preliminary
Christine A. Long,4,362,AtLarge,2017,Preliminary
Write-Ins,4,1,AtLarge,2017,Preliminary
Blanks,5,276,AtLarge,2017,Preliminary
Cheryl Tully Stoll,5,501,AtLarge,2017,Preliminary
Pablo Maia,5,78,AtLarge,2017,Preliminary
"George P. King, Jr.",5,330,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",5,96,AtLarge,2017,Preliminary
Christine A. Long,5,460,AtLarge,2017,Preliminary
Write-Ins,5,19,AtLarge,2017,Preliminary
Blanks,6,529,AtLarge,2017,Preliminary
Cheryl Tully Stoll,6,494,AtLarge,2017,Preliminary
Pablo Maia,6,63,AtLarge,2017,Preliminary
"George P. King, Jr.",6,315,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",6,67,AtLarge,2017,Preliminary
Christine A. Long,6,387,AtLarge,2017,Preliminary
Write-Ins,6,5,AtLarge,2017,Preliminary
Blanks,7,424,AtLarge,2017,Preliminary
Cheryl Tully Stoll,7,472,AtLarge,2017,Preliminary
Pablo Maia,7,46,AtLarge,2017,Preliminary
"George P. King, Jr.",7,267,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",7,63,AtLarge,2017,Preliminary
Christine A. Long,7,269,AtLarge,2017,Preliminary
Write-Ins,7,9,AtLarge,2017,Preliminary
Blanks,8,494,AtLarge,2017,Preliminary
Cheryl Tully Stoll,8,417,AtLarge,2017,Preliminary
Pablo Maia,8,60,AtLarge,2017,Preliminary
"George P. King, Jr.",8,236,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",8,68,AtLarge,2017,Preliminary
Christine A. Long,8,331,AtLarge,2017,Preliminary
Write-Ins,8,6,AtLarge,2017,Preliminary
Blanks,9,243,AtLarge,2017,Preliminary
Cheryl Tully Stoll,9,231,AtLarge,2017,Preliminary
Pablo Maia,9,47,AtLarge,2017,Preliminary
"George P. King, Jr.",9,153,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",9,38,AtLarge,2017,Preliminary
Christine A. Long,9,164,AtLarge,2017,Preliminary
Write-Ins,9,6,AtLarge,2017,Preliminary
Blanks,10,167,AtLarge,2017,Preliminary
Cheryl Tully Stoll,10,139,AtLarge,2017,Preliminary
Pablo Maia,10,23,AtLarge,2017,Preliminary
"George P. King, Jr.",10,77,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",10,26,AtLarge,2017,Preliminary
Christine A. Long,10,93,AtLarge,2017,Preliminary
Write-Ins,10,1,AtLarge,2017,Preliminary
Blanks,11,493,AtLarge,2017,Preliminary
Cheryl Tully Stoll,11,628,AtLarge,2017,Preliminary
Pablo Maia,11,96,AtLarge,2017,Preliminary
"George P. King, Jr.",11,346,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",11,74,AtLarge,2017,Preliminary
Christine A. Long,11,440,AtLarge,2017,Preliminary
Write-Ins,11,13,AtLarge,2017,Preliminary
Blanks,12,208,AtLarge,2017,Preliminary
Cheryl Tully Stoll,12,210,AtLarge,2017,Preliminary
Pablo Maia,12,56,AtLarge,2017,Preliminary
"George P. King, Jr.",12,131,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",12,26,AtLarge,2017,Preliminary
Christine A. Long,12,138,AtLarge,2017,Preliminary
Write-Ins,12,5,AtLarge,2017,Preliminary
Blanks,13,295,AtLarge,2017,Preliminary
Cheryl Tully Stoll,13,265,AtLarge,2017,Preliminary
Pablo Maia,13,62,AtLarge,2017,Preliminary
"George P. King, Jr.",13,186,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",13,52,AtLarge,2017,Preliminary
Christine A. Long,13,185,AtLarge,2017,Preliminary
Write-Ins,13,5,AtLarge,2017,Preliminary
Blanks,14,185,AtLarge,2017,Preliminary
Cheryl Tully Stoll,14,124,AtLarge,2017,Preliminary
Pablo Maia,14,49,AtLarge,2017,Preliminary
"George P. King, Jr.",14,79,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",14,24,AtLarge,2017,Preliminary
Christine A. Long,14,99,AtLarge,2017,Preliminary
Write-Ins,14,10,AtLarge,2017,Preliminary
Blanks,15,240,AtLarge,2017,Preliminary
Cheryl Tully Stoll,15,156,AtLarge,2017,Preliminary
Pablo Maia,15,87,AtLarge,2017,Preliminary
"George P. King, Jr.",15,114,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",15,51,AtLarge,2017,Preliminary
Christine A. Long,15,163,AtLarge,2017,Preliminary
Write-Ins,15,7,AtLarge,2017,Preliminary
Blanks,16,115,AtLarge,2017,Preliminary
Cheryl Tully Stoll,16,61,AtLarge,2017,Preliminary
Pablo Maia,16,35,AtLarge,2017,Preliminary
"George P. King, Jr.",16,42,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",16,16,AtLarge,2017,Preliminary
Christine A. Long,16,57,AtLarge,2017,Preliminary
Write-Ins,16,2,AtLarge,2017,Preliminary
Blanks,17,76,AtLarge,2017,Preliminary
Cheryl Tully Stoll,17,44,AtLarge,2017,Preliminary
Pablo Maia,17,38,AtLarge,2017,Preliminary
"George P. King, Jr.",17,27,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",17,27,AtLarge,2017,Preliminary
Christine A. Long,17,52,AtLarge,2017,Preliminary
Write-Ins,17,0,AtLarge,2017,Preliminary
Blanks,18,194,AtLarge,2017,Preliminary
Cheryl Tully Stoll,18,131,AtLarge,2017,Preliminary
Pablo Maia,18,55,AtLarge,2017,Preliminary
"George P. King, Jr.",18,111,AtLarge,2017,Preliminary
"Samuel J. Mercurio, Jr.",18,58,AtLarge,2017,Preliminary
Christine A. Long,18,129,AtLarge,2017,Preliminary
Write-Ins,18,14,AtLarge,2017,Preliminary
