precinct,total_voter_turnout,total_registered_voters,turnout,election,year
1,971,2909,33.4,Preliminary,2017
2,995,3207,31,Preliminary,2017
3,661,2508,26.4,Preliminary,2017
4,991,2789,35.5,Preliminary,2017
5,880,2742,32.1,Preliminary,2017
6,930,2744,33.9,Preliminary,2017
7,775,2530,30.6,Preliminary,2017
8,806,2567,31.4,Preliminary,2017
9,441,2015,21.9,Preliminary,2017
10,263,1844,14.3,Preliminary,2017
11,1045,2915,35.8,Preliminary,2017
12,387,1561,24.8,Preliminary,2017
13,525,2041,25.7,Preliminary,2017
14,285,1679,17,Preliminary,2017
15,409,1741,23.5,Preliminary,2017
16,164,1123,14.6,Preliminary,2017
17,132,1398,9.4,Preliminary,2017
18,346,1683,20.6,Preliminary,2017
