Candidate,Precinct,Votes
Christine A. Long,1,800
Christine A. Long,2,900
Jacob Binnall,3,256
Cesar G. Stewart-Morales,3,491
Adam C. Steiner,4,583
Mary Kate Feeney,4,540
Jacob Binnall,5,423
Cesar G. Stewart-Morales,5,567
Michael P. Cannon,6,726
Adam C. Steiner,7,414
Mary Kate Feeney,7,457
Noval A. Alexander,8,412
Cheryl L. Gordon,8,351
Michael P. Cannon,9,364
"Philip R. Ottaviani, Jr.",10,219
"Philip R. Ottaviani, Jr.",11,768
Noval A. Alexander,12,216
Cheryl L. Gordon,12,158
Leora Rose Mallach,13,335
Magdalena K. Janus,13,221
Leora Rose Mallach,14,191
Magdalena K. Janus,14,64
John A. Stefanini,15,323
Edgardo Angel Torres,16,44
Tracey Bryant,16,109
Edgardo Angel Torres,17,33
Tracey Bryant,17,81
John A. Stefanini,18,230
