Candidate,Precinct,Votes,Race,Year,Election
Charlie Sisitsky,1,856,Mayor,2021,General
Yvonne M. Spicer,1,239,Mayor,2021,General
Charlie Sisitsky,2,859,Mayor,2021,General
Yvonne M. Spicer,2,343,Mayor,2021,General
Charlie Sisitsky,3,499,Mayor,2021,General
Yvonne M. Spicer,3,302,Mayor,2021,General
Charlie Sisitsky,4,836,Mayor,2021,General
Yvonne M. Spicer,4,354,Mayor,2021,General
Charlie Sisitsky,5,781,Mayor,2021,General
Yvonne M. Spicer,5,276,Mayor,2021,General
Charlie Sisitsky,6,696,Mayor,2021,General
Yvonne M. Spicer,6,302,Mayor,2021,General
Charlie Sisitsky,7,621,Mayor,2021,General
Yvonne M. Spicer,7,309,Mayor,2021,General
Charlie Sisitsky,8,562,Mayor,2021,General
Yvonne M. Spicer,8,283,Mayor,2021,General
Charlie Sisitsky,9,343,Mayor,2021,General
Yvonne M. Spicer,9,140,Mayor,2021,General
Charlie Sisitsky,10,185,Mayor,2021,General
Yvonne M. Spicer,10,122,Mayor,2021,General
Charlie Sisitsky,11,729,Mayor,2021,General
Yvonne M. Spicer,11,331,Mayor,2021,General
Charlie Sisitsky,12,262,Mayor,2021,General
Yvonne M. Spicer,12,131,Mayor,2021,General
Charlie Sisitsky,13,368,Mayor,2021,General
Yvonne M. Spicer,13,226,Mayor,2021,General
Charlie Sisitsky,14,156,Mayor,2021,General
Yvonne M. Spicer,14,120,Mayor,2021,General
Charlie Sisitsky,15,229,Mayor,2021,General
Yvonne M. Spicer,15,157,Mayor,2021,General
Charlie Sisitsky,16,74,Mayor,2021,General
Yvonne M. Spicer,16,91,Mayor,2021,General
Charlie Sisitsky,17,35,Mayor,2021,General
Yvonne M. Spicer,17,85,Mayor,2021,General
Charlie Sisitsky,18,192,Mayor,2021,General
Yvonne M. Spicer,18,98,Mayor,2021,General
