Candidate,Precinct,Votes,Race,Year,Election
Adam C. Steiner,...2,,Council,2021,Special
Mary Kate Feeney,...2,,Council,2021,Special
Adam C. Steiner,...3,,Council,2021,Special
Mary Kate Feeney,...3,,Council,2021,Special
Adam C. Steiner,...4,,Council,2021,Special
Mary Kate Feeney,...4,,Council,2021,Special
Adam C. Steiner,...5,444,Council,2021,Special
Mary Kate Feeney,...5,299,Council,2021,Special
Adam C. Steiner,...6,,Council,2021,Special
Mary Kate Feeney,...6,,Council,2021,Special
Adam C. Steiner,...7,,Council,2021,Special
Mary Kate Feeney,...7,,Council,2021,Special
Adam C. Steiner,...8,274,Council,2021,Special
Mary Kate Feeney,...8,235,Council,2021,Special
Adam C. Steiner,...9,,Council,2021,Special
Mary Kate Feeney,...9,,Council,2021,Special
Adam C. Steiner,...10,,Council,2021,Special
Mary Kate Feeney,...10,,Council,2021,Special
Adam C. Steiner,...11,,Council,2021,Special
Mary Kate Feeney,...11,,Council,2021,Special
Adam C. Steiner,...12,,Council,2021,Special
Mary Kate Feeney,...12,,Council,2021,Special
Adam C. Steiner,...13,,Council,2021,Special
Mary Kate Feeney,...13,,Council,2021,Special
Adam C. Steiner,...14,,Council,2021,Special
Mary Kate Feeney,...14,,Council,2021,Special
Adam C. Steiner,...15,,Council,2021,Special
Mary Kate Feeney,...15,,Council,2021,Special
Adam C. Steiner,...16,,Council,2021,Special
Mary Kate Feeney,...16,,Council,2021,Special
Adam C. Steiner,...17,,Council,2021,Special
Mary Kate Feeney,...17,,Council,2021,Special
Adam C. Steiner,...18,,Council,2021,Special
Mary Kate Feeney,...18,,Council,2021,Special
Adam C. Steiner,...19,,Council,2021,Special
Mary Kate Feeney,...19,,Council,2021,Special
Adam C. Steiner,...20,718,Council,2021,Special
Mary Kate Feeney,...20,534,Council,2021,Special
