Precinct,Total Voter Turnout,Total Registered Voters,Turnout,Election,Year
1,107,691,0.155,State Primary,2020
2,86,1148,0.075,State Primary,2020
3,98,970,0.101,State Primary,2020
4,162,1045,0.155,State Primary,2020
5,327,1187,0.275,State Primary,2020
6,467,1858,0.251,State Primary,2020
7,530,1800,0.294,State Primary,2020
8,271,1360,0.199,State Primary,2020
9A,367,1396,0.263,State Primary,2020
9B,14,81,0.173,State Primary,2020
10,272,875,0.311,State Primary,2020
11,358,1454,0.246,State Primary,2020
12,339,1221,0.278,State Primary,2020
13,156,918,0.17,State Primary,2020
14,200,1156,0.173,State Primary,2020
15,215,1296,0.166,State Primary,2020
16,422,1676,0.252,State Primary,2020
17,511,1792,0.285,State Primary,2020
18,522,1958,0.267,State Primary,2020
19,510,1870,0.273,State Primary,2020
20,554,1866,0.297,State Primary,2020
21A,393,1327,0.296,State Primary,2020
21B,248,722,0.343,State Primary,2020
21C,9,43,0.209,State Primary,2020
22,596,2087,0.286,State Primary,2020
23,484,1847,0.262,State Primary,2020
24,507,1868,0.271,State Primary,2020
25,502,1917,0.262,State Primary,2020
26,459,1788,0.257,State Primary,2020
27,437,1696,0.258,State Primary,2020
