Precinct,Blanks,John A. Stefanini,Write-Ins,Yvonne M. Spicer,Total,TotalVotesCast,SpicerPercent,StefaniniPercent
1,7,603,8,755,1373,1366,55.3,44.1
2,2,630,2,844,1478,1476,57.2,42.7
3,2,364,4,657,1027,1025,64.1,35.5
4,3,585,8,873,1469,1466,59.5,39.9
5,2,517,5,708,1232,1230,57.6,42
6,9,540,8,748,1305,1296,57.7,41.7
7,2,402,4,694,1102,1100,63.1,36.5
8,7,396,7,682,1092,1085,62.9,36.5
9,2,254,10,371,637,635,58.4,40
10,2,132,3,250,387,385,64.9,34.3
11,0,673,11,747,1431,1431,52.2,47
12,4,226,4,335,569,565,59.3,40
13,1,286,6,438,731,730,60,39.2
14,2,138,6,231,377,375,61.6,36.8
15,1,310,6,274,591,590,46.4,52.5
16,1,96,0,153,250,249,61.4,38.6
17,1,68,4,134,207,206,65,33
18,0,237,5,234,476,476,49.2,49.8
Total,48,6457,101,9128,15734,15686,58.2,41.2
