Candidate,Precinct,Votes,Race,Year,Election
Blanks,1,7,Mayor,2017,General
John A. Stefanini,1,603,Mayor,2017,General
Yvonne M. Spicer,1,755,Mayor,2017,General
Write-Ins,1,8,Mayor,2017,General
Blanks,2,2,Mayor,2017,General
John A. Stefanini,2,630,Mayor,2017,General
Yvonne M. Spicer,2,844,Mayor,2017,General
Write-Ins,2,2,Mayor,2017,General
Blanks,3,2,Mayor,2017,General
John A. Stefanini,3,364,Mayor,2017,General
Yvonne M. Spicer,3,657,Mayor,2017,General
Write-Ins,3,4,Mayor,2017,General
Blanks,4,3,Mayor,2017,General
John A. Stefanini,4,585,Mayor,2017,General
Yvonne M. Spicer,4,873,Mayor,2017,General
Write-Ins,4,8,Mayor,2017,General
Blanks,5,2,Mayor,2017,General
John A. Stefanini,5,517,Mayor,2017,General
Yvonne M. Spicer,5,708,Mayor,2017,General
Write-Ins,5,5,Mayor,2017,General
Blanks,6,9,Mayor,2017,General
John A. Stefanini,6,540,Mayor,2017,General
Yvonne M. Spicer,6,748,Mayor,2017,General
Write-Ins,6,8,Mayor,2017,General
Blanks,7,2,Mayor,2017,General
John A. Stefanini,7,402,Mayor,2017,General
Yvonne M. Spicer,7,694,Mayor,2017,General
Write-Ins,7,4,Mayor,2017,General
Blanks,8,7,Mayor,2017,General
John A. Stefanini,8,396,Mayor,2017,General
Yvonne M. Spicer,8,682,Mayor,2017,General
Write-Ins,8,7,Mayor,2017,General
Blanks,9,2,Mayor,2017,General
John A. Stefanini,9,254,Mayor,2017,General
Yvonne M. Spicer,9,371,Mayor,2017,General
Write-Ins,9,10,Mayor,2017,General
Blanks,10,2,Mayor,2017,General
John A. Stefanini,10,132,Mayor,2017,General
Yvonne M. Spicer,10,250,Mayor,2017,General
Write-Ins,10,3,Mayor,2017,General
Blanks,11,0,Mayor,2017,General
John A. Stefanini,11,673,Mayor,2017,General
Yvonne M. Spicer,11,747,Mayor,2017,General
Write-Ins,11,11,Mayor,2017,General
Blanks,12,4,Mayor,2017,General
John A. Stefanini,12,226,Mayor,2017,General
Yvonne M. Spicer,12,335,Mayor,2017,General
Write-Ins,12,4,Mayor,2017,General
Blanks,13,1,Mayor,2017,General
John A. Stefanini,13,286,Mayor,2017,General
Yvonne M. Spicer,13,438,Mayor,2017,General
Write-Ins,13,6,Mayor,2017,General
Blanks,14,2,Mayor,2017,General
John A. Stefanini,14,138,Mayor,2017,General
Yvonne M. Spicer,14,231,Mayor,2017,General
Write-Ins,14,6,Mayor,2017,General
Blanks,15,1,Mayor,2017,General
John A. Stefanini,15,310,Mayor,2017,General
Yvonne M. Spicer,15,274,Mayor,2017,General
Write-Ins,15,6,Mayor,2017,General
Blanks,16,1,Mayor,2017,General
John A. Stefanini,16,96,Mayor,2017,General
Yvonne M. Spicer,16,153,Mayor,2017,General
Write-Ins,16,0,Mayor,2017,General
Blanks,17,1,Mayor,2017,General
John A. Stefanini,17,68,Mayor,2017,General
Yvonne M. Spicer,17,134,Mayor,2017,General
Write-Ins,17,4,Mayor,2017,General
Blanks,18,0,Mayor,2017,General
John A. Stefanini,18,237,Mayor,2017,General
Yvonne M. Spicer,18,234,Mayor,2017,General
Write-Ins,18,5,Mayor,2017,General
Blanks,1,642,AtLarge,2017,General
"George P. King, Jr.",1,638,AtLarge,2017,General
Pablo Maia,1,89,AtLarge,2017,General
Christine A. Long,1,645,AtLarge,2017,General
Cheryl Tully Stoll,1,724,AtLarge,2017,General
Write-Ins,1,8,AtLarge,2017,General
Blanks,2,660,AtLarge,2017,General
"George P. King, Jr.",2,599,AtLarge,2017,General
Pablo Maia,2,104,AtLarge,2017,General
Christine A. Long,2,808,AtLarge,2017,General
Cheryl Tully Stoll,2,775,AtLarge,2017,General
Write-Ins,2,10,AtLarge,2017,General
Blanks,3,464,AtLarge,2017,General
"George P. King, Jr.",3,485,AtLarge,2017,General
Pablo Maia,3,107,AtLarge,2017,General
Christine A. Long,3,467,AtLarge,2017,General
Cheryl Tully Stoll,3,520,AtLarge,2017,General
Write-Ins,3,11,AtLarge,2017,General
Blanks,4,716,AtLarge,2017,General
"George P. King, Jr.",4,611,AtLarge,2017,General
Pablo Maia,4,103,AtLarge,2017,General
Christine A. Long,4,583,AtLarge,2017,General
Cheryl Tully Stoll,4,917,AtLarge,2017,General
Write-Ins,4,8,AtLarge,2017,General
Blanks,5,513,AtLarge,2017,General
"George P. King, Jr.",5,599,AtLarge,2017,General
Pablo Maia,5,95,AtLarge,2017,General
Christine A. Long,5,594,AtLarge,2017,General
Cheryl Tully Stoll,5,660,AtLarge,2017,General
Write-Ins,5,3,AtLarge,2017,General
Blanks,6,604,AtLarge,2017,General
"George P. King, Jr.",6,620,AtLarge,2017,General
Pablo Maia,6,93,AtLarge,2017,General
Christine A. Long,6,599,AtLarge,2017,General
Cheryl Tully Stoll,6,686,AtLarge,2017,General
Write-Ins,6,8,AtLarge,2017,General
Blanks,7,543,AtLarge,2017,General
"George P. King, Jr.",7,499,AtLarge,2017,General
Pablo Maia,7,90,AtLarge,2017,General
Christine A. Long,7,379,AtLarge,2017,General
Cheryl Tully Stoll,7,687,AtLarge,2017,General
Write-Ins,7,6,AtLarge,2017,General
Blanks,8,591,AtLarge,2017,General
"George P. King, Jr.",8,437,AtLarge,2017,General
Pablo Maia,8,106,AtLarge,2017,General
Christine A. Long,8,459,AtLarge,2017,General
Cheryl Tully Stoll,8,575,AtLarge,2017,General
Write-Ins,8,16,AtLarge,2017,General
Blanks,9,310,AtLarge,2017,General
"George P. King, Jr.",9,299,AtLarge,2017,General
Pablo Maia,9,93,AtLarge,2017,General
Christine A. Long,9,248,AtLarge,2017,General
Cheryl Tully Stoll,9,320,AtLarge,2017,General
Write-Ins,9,4,AtLarge,2017,General
Blanks,10,181,AtLarge,2017,General
"George P. King, Jr.",10,162,AtLarge,2017,General
Pablo Maia,10,37,AtLarge,2017,General
Christine A. Long,10,167,AtLarge,2017,General
Cheryl Tully Stoll,10,224,AtLarge,2017,General
Write-Ins,10,3,AtLarge,2017,General
Blanks,11,656,AtLarge,2017,General
"George P. King, Jr.",11,635,AtLarge,2017,General
Pablo Maia,11,127,AtLarge,2017,General
Christine A. Long,11,602,AtLarge,2017,General
Cheryl Tully Stoll,11,835,AtLarge,2017,General
Write-Ins,11,7,AtLarge,2017,General
Blanks,12,279,AtLarge,2017,General
"George P. King, Jr.",12,234,AtLarge,2017,General
Pablo Maia,12,75,AtLarge,2017,General
Christine A. Long,12,228,AtLarge,2017,General
Cheryl Tully Stoll,12,318,AtLarge,2017,General
Write-Ins,12,4,AtLarge,2017,General
Blanks,13,372,AtLarge,2017,General
"George P. King, Jr.",13,302,AtLarge,2017,General
Pablo Maia,13,101,AtLarge,2017,General
Christine A. Long,13,292,AtLarge,2017,General
Cheryl Tully Stoll,13,391,AtLarge,2017,General
Write-Ins,13,4,AtLarge,2017,General
Blanks,14,208,AtLarge,2017,General
"George P. King, Jr.",14,144,AtLarge,2017,General
Pablo Maia,14,65,AtLarge,2017,General
Christine A. Long,14,148,AtLarge,2017,General
Cheryl Tully Stoll,14,185,AtLarge,2017,General
Write-Ins,14,4,AtLarge,2017,General
Blanks,15,349,AtLarge,2017,General
"George P. King, Jr.",15,230,AtLarge,2017,General
Pablo Maia,15,118,AtLarge,2017,General
Christine A. Long,15,249,AtLarge,2017,General
Cheryl Tully Stoll,15,230,AtLarge,2017,General
Write-Ins,15,6,AtLarge,2017,General
Blanks,16,172,AtLarge,2017,General
"George P. King, Jr.",16,93,AtLarge,2017,General
Pablo Maia,16,51,AtLarge,2017,General
Christine A. Long,16,82,AtLarge,2017,General
Cheryl Tully Stoll,16,102,AtLarge,2017,General
Write-Ins,16,0,AtLarge,2017,General
Blanks,17,126,AtLarge,2017,General
"George P. King, Jr.",17,83,AtLarge,2017,General
Pablo Maia,17,46,AtLarge,2017,General
Christine A. Long,17,93,AtLarge,2017,General
Cheryl Tully Stoll,17,66,AtLarge,2017,General
Write-Ins,17,0,AtLarge,2017,General
Blanks,18,293,AtLarge,2017,General
"George P. King, Jr.",18,195,AtLarge,2017,General
Pablo Maia,18,83,AtLarge,2017,General
Christine A. Long,18,201,AtLarge,2017,General
Cheryl Tully Stoll,18,178,AtLarge,2017,General
Write-Ins,18,2,AtLarge,2017,General
Blanks,1,81,District 1 City Council,2017,General
Charlie Sisitsky,1,710,District 1 City Council,2017,General
Joseph C. Norton,1,579,District 1 City Council,2017,General
Write-Ins,1,3,District 1 City Council,2017,General
Blanks,2,77,District 1 City Council,2017,General
Charlie Sisitsky,2,682,District 1 City Council,2017,General
Joseph C. Norton,2,713,District 1 City Council,2017,General
Write-Ins,2,6,District 1 City Council,2017,General
Blanks,3,125,District 2 City Council,2017,General
Pam Richardson,3,574,District 2 City Council,2017,General
Jeanne I. Bullock,3,321,District 2 City Council,2017,General
Write-Ins,3,7,District 2 City Council,2017,General
Blanks,5,124,District 2 City Council,2017,General
Pam Richardson,5,667,District 2 City Council,2017,General
Jeanne I. Bullock,5,431,District 2 City Council,2017,General
Write-Ins,5,10,District 2 City Council,2017,General
Blanks,4,163,District 3 City Council,2017,General
Adam C. Steiner,4,888,District 3 City Council,2017,General
Joel Winett,4,412,District 3 City Council,2017,General
Write-Ins,4,6,District 3 City Council,2017,General
Blanks,7,99,District 3 City Council,2017,General
Adam C. Steiner,7,616,District 3 City Council,2017,General
Joel Winett,7,386,District 3 City Council,2017,General
Write-Ins,7,1,District 3 City Council,2017,General
Blanks,6,127,District 4 City Council,2017,General
Michael P. Cannon,6,679,District 4 City Council,2017,General
Amanda Page Shepard,6,495,District 4 City Council,2017,General
Write-Ins,6,4,District 4 City Council,2017,General
Blanks,9,49,District 4 City Council,2017,General
Michael P. Cannon,9,368,District 4 City Council,2017,General
Amanda Page Shepard,9,216,District 4 City Council,2017,General
Write-Ins,9,4,District 4 City Council,2017,General
Blanks,8,61,District 5 City Council,2017,General
Dennis L. Giombetti,8,419,District 5 City Council,2017,General
Robert D. Case,8,610,District 5 City Council,2017,General
Write-Ins,8,2,District 5 City Council,2017,General
Blanks,12,34,District 5 City Council,2017,General
Dennis L. Giombetti,12,382,District 5 City Council,2017,General
Robert D. Case,12,151,District 5 City Council,2017,General
Write-Ins,12,2,District 5 City Council,2017,General
Blanks,10,30,District 6 City Council,2017,General
Michael M. Rossi,10,170,District 6 City Council,2017,General
"Phillip R. Ottaviani, Jr.",10,186,District 6 City Council,2017,General
Write-Ins,10,1,District 6 City Council,2017,General
Blanks,11,65,District 6 City Council,2017,General
Michael M. Rossi,11,701,District 6 City Council,2017,General
"Phillip R. Ottaviani, Jr.",11,663,District 6 City Council,2017,General
Write-Ins,11,2,District 6 City Council,2017,General
Blanks,13,39,District 7 City Council,2017,General
Margareth Basilio Shepard,13,364,District 7 City Council,2017,General
William Patrick Lynch,13,325,District 7 City Council,2017,General
Write-Ins,13,3,District 7 City Council,2017,General
Blanks,14,22,District 7 City Council,2017,General
Margareth Basilio Shepard,14,223,District 7 City Council,2017,General
William Patrick Lynch,14,129,District 7 City Council,2017,General
Write-Ins,14,3,District 7 City Council,2017,General
Blanks,15,36,District 8 City Council,2017,General
Steven P. Croci,15,254,District 8 City Council,2017,General
Judith A. Grove,15,298,District 8 City Council,2017,General
Write-Ins,15,3,District 8 City Council,2017,General
Blanks,18,31,District 8 City Council,2017,General
Steven P. Croci,18,197,District 8 City Council,2017,General
Judith A. Grove,18,244,District 8 City Council,2017,General
Write-Ins,18,4,District 8 City Council,2017,General
Blanks,16,31,District 9 City Council,2017,General
Edgardo A. Torres,16,113,District 9 City Council,2017,General
William J. LaBarge,16,105,District 9 City Council,2017,General
Write-Ins,16,1,District 9 City Council,2017,General
Blanks,17,12,District 9 City Council,2017,General
Edgardo A. Torres,17,139,District 9 City Council,2017,General
William J. LaBarge,17,56,District 9 City Council,2017,General
Write-Ins,17,0,District 9 City Council,2017,General
Blanks,1,157,District 1 School Commitee,2017,General
James J. Kelly,1,479,District 1 School Commitee,2017,General
Beverly K. Hugo,1,732,District 1 School Commitee,2017,General
Write-Ins,1,5,District 1 School Commitee,2017,General
Blanks,2,111,District 1 School Commitee,2017,General
James J. Kelly,2,513,District 1 School Commitee,2017,General
Beverly K. Hugo,2,846,District 1 School Commitee,2017,General
Write-Ins,2,8,District 1 School Commitee,2017,General
Blanks,3,234,District 2 School Commitee,2017,General
Richard A. Finlay,3,768,District 2 School Commitee,2017,General
Write-Ins,3,25,District 2 School Commitee,2017,General
Blanks,5,303,District 2 School Commitee,2017,General
Richard A. Finlay,5,901,District 2 School Commitee,2017,General
Write-Ins,5,28,District 2 School Commitee,2017,General
Blanks,4,173,District 3 School Commitee,2017,General
Sheryl L. Goldstein,4,592,District 3 School Commitee,2017,General
Scott W. Wadland,4,696,District 3 School Commitee,2017,General
Write-Ins,4,8,District 3 School Commitee,2017,General
Blanks,7,136,District 3 School Commitee,2017,General
Sheryl L. Goldstein,7,489,District 3 School Commitee,2017,General
Scott W. Wadland,7,474,District 3 School Commitee,2017,General
Write-Ins,7,3,District 3 School Commitee,2017,General
Blanks,6,296,District 4 School Commitee,2017,General
Adam L. Freudberg,6,991,District 4 School Commitee,2017,General
Write-Ins,6,18,District 4 School Commitee,2017,General
Blanks,9,144,District 4 School Commitee,2017,General
Adam L. Freudberg,9,482,District 4 School Commitee,2017,General
Write-Ins,9,11,District 4 School Commitee,2017,General
Blanks,8,199,District 5 School Commitee,2017,General
Bradley C. Bauler,8,432,District 5 School Commitee,2017,General
Noval A. Alexander,8,458,District 5 School Commitee,2017,General
Write-Ins,8,3,District 5 School Commitee,2017,General
Blanks,12,71,District 5 School Commitee,2017,General
Bradley C. Bauler,12,246,District 5 School Commitee,2017,General
Noval A. Alexander,12,248,District 5 School Commitee,2017,General
Write-Ins,12,4,District 5 School Commitee,2017,General
Blanks,10,53,District 6 School Commitee,2017,General
Michelle A. Brosnahan,10,166,District 6 School Commitee,2017,General
Geoffrey N. Epstein,10,168,District 6 School Commitee,2017,General
Write-Ins,10,0,District 6 School Commitee,2017,General
Blanks,11,178,District 6 School Commitee,2017,General
Michelle A. Brosnahan,11,554,District 6 School Commitee,2017,General
Geoffrey N. Epstein,11,693,District 6 School Commitee,2017,General
Write-Ins,11,6,District 6 School Commitee,2017,General
Blanks,13,154,District 7 School Commitee,2017,General
Tiffanie Dawn Maskell,13,559,District 7 School Commitee,2017,General
Write-Ins,13,18,District 7 School Commitee,2017,General
Blanks,14,70,District 7 School Commitee,2017,General
Tiffanie Dawn Maskell,14,301,District 7 School Commitee,2017,General
Write-Ins,14,6,District 7 School Commitee,2017,General
Blanks,15,64,District 8 School Commitee,2017,General
Gloria Pascual,15,322,District 8 School Commitee,2017,General
Leslie S. White-Harvey,15,196,District 8 School Commitee,2017,General
Write-Ins,15,9,District 8 School Commitee,2017,General
Blanks,18,37,District 8 School Commitee,2017,General
Gloria Pascual,18,298,District 8 School Commitee,2017,General
Leslie S. White-Harvey,18,134,District 8 School Commitee,2017,General
Write-Ins,18,7,District 8 School Commitee,2017,General
Blanks,16,27,District 9 School Commitee,2017,General
Richard G. Baritz,16,93,District 9 School Commitee,2017,General
Tracey M. Bryant,16,127,District 9 School Commitee,2017,General
Blanks,17,16,District 9 School Commitee,2017,General
Richard G. Baritz,17,55,District 9 School Commitee,2017,General
Tracey M. Bryant,17,122,District 9 School Commitee,2017,General
