Candidate,Precinct,Votes,Race,Year,Election
Blanks,1,7,Mayor,2017,Preliminary
Joshua Paul Horrigan,1,28,Mayor,2017,Preliminary
John A. Stefanini,1,323,Mayor,2017,Preliminary
Dhruba P. Sen,1,2,Mayor,2017,Preliminary
Mark S. Tilden,1,54,Mayor,2017,Preliminary
Yvonne M. Spicer,1,518,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",1,10,Mayor,2017,Preliminary
Priscila Sousa,1,24,Mayor,2017,Preliminary
Write-Ins,1,5,Mayor,2017,Preliminary
Blanks,2,5,Mayor,2017,Preliminary
Joshua Paul Horrigan,2,36,Mayor,2017,Preliminary
John A. Stefanini,2,316,Mayor,2017,Preliminary
Dhruba P. Sen,2,2,Mayor,2017,Preliminary
Mark S. Tilden,2,33,Mayor,2017,Preliminary
Yvonne M. Spicer,2,563,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",2,12,Mayor,2017,Preliminary
Priscila Sousa,2,22,Mayor,2017,Preliminary
Write-Ins,2,6,Mayor,2017,Preliminary
Blanks,3,4,Mayor,2017,Preliminary
Joshua Paul Horrigan,3,30,Mayor,2017,Preliminary
John A. Stefanini,3,137,Mayor,2017,Preliminary
Dhruba P. Sen,3,7,Mayor,2017,Preliminary
Mark S. Tilden,3,10,Mayor,2017,Preliminary
Yvonne M. Spicer,3,424,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",3,8,Mayor,2017,Preliminary
Priscila Sousa,3,39,Mayor,2017,Preliminary
Write-Ins,3,2,Mayor,2017,Preliminary
Blanks,4,3,Mayor,2017,Preliminary
Joshua Paul Horrigan,4,36,Mayor,2017,Preliminary
John A. Stefanini,4,251,Mayor,2017,Preliminary
Dhruba P. Sen,4,4,Mayor,2017,Preliminary
Mark S. Tilden,4,87,Mayor,2017,Preliminary
Yvonne M. Spicer,4,566,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",4,11,Mayor,2017,Preliminary
Priscila Sousa,4,29,Mayor,2017,Preliminary
Write-Ins,4,4,Mayor,2017,Preliminary
Blanks,5,3,Mayor,2017,Preliminary
Joshua Paul Horrigan,5,48,Mayor,2017,Preliminary
John A. Stefanini,5,245,Mayor,2017,Preliminary
Dhruba P. Sen,5,9,Mayor,2017,Preliminary
Mark S. Tilden,5,36,Mayor,2017,Preliminary
Yvonne M. Spicer,5,494,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",5,11,Mayor,2017,Preliminary
Priscila Sousa,5,27,Mayor,2017,Preliminary
Write-Ins,5,7,Mayor,2017,Preliminary
Blanks,6,7,Mayor,2017,Preliminary
Joshua Paul Horrigan,6,44,Mayor,2017,Preliminary
John A. Stefanini,6,258,Mayor,2017,Preliminary
Dhruba P. Sen,6,6,Mayor,2017,Preliminary
