Candidate,Precinct,Votes,Race,Year,Election
Edward Markey,1,745,US Senate,2020,Democratic Primary
Edward Markey,2,898,US Senate,2020,Democratic Primary
Edward Markey,3,598,US Senate,2020,Democratic Primary
Edward Markey,4,786,US Senate,2020,Democratic Primary
Edward Markey,5,656,US Senate,2020,Democratic Primary
Edward Markey,6,593,US Senate,2020,Democratic Primary
Edward Markey,7,703,US Senate,2020,Democratic Primary
Edward Markey,8,598,US Senate,2020,Democratic Primary
Edward Markey,9,328,US Senate,2020,Democratic Primary
Edward Markey,10,319,US Senate,2020,Democratic Primary
Edward Markey,11,773,US Senate,2020,Democratic Primary
Edward Markey,12,267,US Senate,2020,Democratic Primary
Edward Markey,13,405,US Senate,2020,Democratic Primary
Edward Markey,14,221,US Senate,2020,Democratic Primary
Edward Markey,15,265,US Senate,2020,Democratic Primary
Edward Markey,16,103,US Senate,2020,Democratic Primary
Edward Markey,17,80,US Senate,2020,Democratic Primary
Edward Markey,18,204,US Senate,2020,Democratic Primary
Joseph P Kennedy III,1,464,US Senate,2020,Democratic Primary
Joseph P Kennedy III,2,473,US Senate,2020,Democratic Primary
Joseph P Kennedy III,3,389,US Senate,2020,Democratic Primary
Joseph P Kennedy III,4,436,US Senate,2020,Democratic Primary
Joseph P Kennedy III,5,429,US Senate,2020,Democratic Primary
Joseph P Kennedy III,6,499,US Senate,2020,Democratic Primary
Joseph P Kennedy III,7,360,US Senate,2020,Democratic Primary
Joseph P Kennedy III,8,379,US Senate,2020,Democratic Primary
Joseph P Kennedy III,9,300,US Senate,2020,Democratic Primary
Joseph P Kennedy III,10,210,US Senate,2020,Democratic Primary
Joseph P Kennedy III,11,432,US Senate,2020,Democratic Primary
Joseph P Kennedy III,12,222,US Senate,2020,Democratic Primary
Joseph P Kennedy III,13,237,US Senate,2020,Democratic Primary
Joseph P Kennedy III,14,203,US Senate,2020,Democratic Primary
Joseph P Kennedy III,15,235,US Senate,2020,Democratic Primary
Joseph P Kennedy III,16,123,US Senate,2020,Democratic Primary
Joseph P Kennedy III,17,105,US Senate,2020,Democratic Primary
Joseph P Kennedy III,18,172,US Senate,2020,Democratic Primary
Write-Ins,1,1,US Senate,2020,Democratic Primary
Write-Ins,2,2,US Senate,2020,Democratic Primary
Write-Ins,3,0,US Senate,2020,Democratic Primary
Write-Ins,4,0,US Senate,2020,Democratic Primary
Write-Ins,5,0,US Senate,2020,Democratic Primary
Write-Ins,6,0,US Senate,2020,Democratic Primary
Write-Ins,7,3,US Senate,2020,Democratic Primary
Write-Ins,8,1,US Senate,2020,Democratic Primary
Write-Ins,9,0,US Senate,2020,Democratic Primary
Write-Ins,10,0,US Senate,2020,Democratic Primary
Write-Ins,11,1,US Senate,2020,Democratic Primary
Write-Ins,12,0,US Senate,2020,Democratic Primary
Write-Ins,13,0,US Senate,2020,Democratic Primary
Write-Ins,14,1,US Senate,2020,Democratic Primary
Write-Ins,15,0,US Senate,2020,Democratic Primary
Write-Ins,16,0,US Senate,2020,Democratic Primary
Write-Ins,17,1,US Senate,2020,Democratic Primary
Write-Ins,18,1,US Senate,2020,Democratic Primary
Blanks,1,3,US Senate,2020,Democratic Primary
Blanks,2,1,US Senate,2020,Democratic Primary
Blanks,3,1,US Senate,2020,Democratic Primary
Blanks,4,3,US Senate,2020,Democratic Primary
Blanks,5,1,US Senate,2020,Democratic Primary
Blanks,6,3,US Senate,2020,Democratic Primary
Blanks,7,2,US Senate,2020,Democratic Primary
Blanks,8,5,US Senate,2020,Democratic Primary
Blanks,9,3,US Senate,2020,Democratic Primary
Blanks,10,0,US Senate,2020,Democratic Primary
Blanks,11,2,US Senate,2020,Democratic Primary
Blanks,12,2,US Senate,2020,Democratic Primary
Blanks,13,8,US Senate,2020,Democratic Primary
Blanks,14,3,US Senate,2020,Democratic Primary
Blanks,15,2,US Senate,2020,Democratic Primary
Blanks,16,5,US Senate,2020,Democratic Primary
Blanks,17,1,US Senate,2020,Democratic Primary
Blanks,18,2,US Senate,2020,Democratic Primary
