Precinct,Total Voter Turnout,Total Registered Voters,Turnout,Election,Year
1,1097,2994,0.37,General,2021
2,1206,3462,0.35,General,2021
3,806,2538,0.32,General,2021
4,1195,2862,0.42,General,2021
5,1062,2729,0.39,General,2021
6,1005,2723,0.37,General,2021
7,933,2604,0.36,General,2021
8,850,2578,0.33,General,2021
9,484,2026,0.24,General,2021
10,309,1735,0.18,General,2021
11,1062,2973,0.36,General,2021
12,399,1475,0.27,General,2021
13,601,2025,0.3,General,2021
14,282,1631,0.17,General,2021
15,390,1631,0.24,General,2021
16,165,1062,0.16,General,2021
17,122,1281,0.1,General,2021
18,291,1568,0.19,General,2021
Total,12259,39897,0.31,General,2021
