Candidate,Precinct,Votes,Race,Year,Election
Blanks,1,0,Mayor,2021,Preliminary
Yvonne M. Spicer,1,125,Mayor,2021,Preliminary
Charlie Sisitsky,1,478,Mayor,2021,Preliminary
Carlos Valadares,1,19,Mayor,2021,Preliminary
Write-Ins,1,3,Mayor,2021,Preliminary
Blanks,2,1,Mayor,2021,Preliminary
Yvonne M. Spicer,2,164,Mayor,2021,Preliminary
Charlie Sisitsky,2,506,Mayor,2021,Preliminary
Carlos Valadares,2,33,Mayor,2021,Preliminary
Write-Ins,2,1,Mayor,2021,Preliminary
Blanks,3,0,Mayor,2021,Preliminary
Yvonne M. Spicer,3,135,Mayor,2021,Preliminary
Charlie Sisitsky,3,261,Mayor,2021,Preliminary
Carlos Valadares,3,27,Mayor,2021,Preliminary
Write-Ins,3,2,Mayor,2021,Preliminary
Blanks,4,0,Mayor,2021,Preliminary
Yvonne M. Spicer,4,186,Mayor,2021,Preliminary
Charlie Sisitsky,4,417,Mayor,2021,Preliminary
Carlos Valadares,4,24,Mayor,2021,Preliminary
Write-Ins,4,0,Mayor,2021,Preliminary
Blanks,5,2,Mayor,2021,Preliminary
Yvonne M. Spicer,5,160,Mayor,2021,Preliminary
Charlie Sisitsky,5,360,Mayor,2021,Preliminary
Carlos Valadares,5,30,Mayor,2021,Preliminary
Write-Ins,5,1,Mayor,2021,Preliminary
Blanks,6,0,Mayor,2021,Preliminary
Yvonne M. Spicer,6,150,Mayor,2021,Preliminary
Charlie Sisitsky,6,426,Mayor,2021,Preliminary
Carlos Valadares,6,23,Mayor,2021,Preliminary
Write-Ins,6,2,Mayor,2021,Preliminary
Blanks,7,0,Mayor,2021,Preliminary
Yvonne M. Spicer,7,147,Mayor,2021,Preliminary
Charlie Sisitsky,7,326,Mayor,2021,Preliminary
Carlos Valadares,7,23,Mayor,2021,Preliminary
Write-Ins,7,1,Mayor,2021,Preliminary
Blanks,8,1,Mayor,2021,Preliminary
Yvonne M. Spicer,8,150,Mayor,2021,Preliminary
Charlie Sisitsky,8,285,Mayor,2021,Preliminary
Carlos Valadares,8,13,Mayor,2021,Preliminary
Write-Ins,8,3,Mayor,2021,Preliminary
Blanks,9,0,Mayor,2021,Preliminary
Yvonne M. Spicer,9,57,Mayor,2021,Preliminary
Charlie Sisitsky,9,173,Mayor,2021,Preliminary
Carlos Valadares,9,14,Mayor,2021,Preliminary
Write-Ins,9,0,Mayor,2021,Preliminary
Blanks,10,0,Mayor,2021,Preliminary
Yvonne M. Spicer,10,57,Mayor,2021,Preliminary
Charlie Sisitsky,10,104,Mayor,2021,Preliminary
Carlos Valadares,10,12,Mayor,2021,Preliminary
Write-Ins,10,1,Mayor,2021,Preliminary
Blanks,11,0,Mayor,2021,Preliminary
Yvonne M. Spicer,11,184,Mayor,2021,Preliminary
Charlie Sisitsky,11,411,Mayor,2021,Preliminary
Carlos Valadares,11,35,Mayor,2021,Preliminary
Write-Ins,11,1,Mayor,2021,Preliminary
Blanks,12,0,Mayor,2021,Preliminary
Yvonne M. Spicer,12,59,Mayor,2021,Preliminary
Charlie Sisitsky,12,128,Mayor,2021,Preliminary
Carlos Valadares,12,14,Mayor,2021,Preliminary
Write-Ins,12,1,Mayor,2021,Preliminary
Blanks,13,1,Mayor,2021,Preliminary
Yvonne M. Spicer,13,139,Mayor,2021,Preliminary
Charlie Sisitsky,13,216,Mayor,2021,Preliminary
Carlos Valadares,13,31,Mayor,2021,Preliminary
Write-Ins,13,0,Mayor,2021,Preliminary
Blanks,14,0,Mayor,2021,Preliminary
Yvonne M. Spicer,14,50,Mayor,2021,Preliminary
Charlie Sisitsky,14,80,Mayor,2021,Preliminary
Carlos Valadares,14,15,Mayor,2021,Preliminary
Write-Ins,14,1,Mayor,2021,Preliminary
Blanks,15,0,Mayor,2021,Preliminary
Yvonne M. Spicer,15,58,Mayor,2021,Preliminary
Charlie Sisitsky,15,128,Mayor,2021,Preliminary
Carlos Valadares,15,15,Mayor,2021,Preliminary
Write-Ins,15,0,Mayor,2021,Preliminary
Blanks,16,0,Mayor,2021,Preliminary
Yvonne M. Spicer,16,34,Mayor,2021,Preliminary
Charlie Sisitsky,16,20,Mayor,2021,Preliminary
Carlos Valadares,16,10,Mayor,2021,Preliminary
Write-Ins,16,0,Mayor,2021,Preliminary
Blanks,17,2,Mayor,2021,Preliminary
Yvonne M. Spicer,17,33,Mayor,2021,Preliminary
Charlie Sisitsky,17,8,Mayor,2021,Preliminary
Carlos Valadares,17,4,Mayor,2021,Preliminary
Write-Ins,17,0,Mayor,2021,Preliminary
Blanks,18,0,Mayor,2021,Preliminary
Yvonne M. Spicer,18,50,Mayor,2021,Preliminary
Charlie Sisitsky,18,74,Mayor,2021,Preliminary
Carlos Valadares,18,21,Mayor,2021,Preliminary
Write-Ins,18,1,Mayor,2021,Preliminary
Blanks,Totals,7,Mayor,2021,Preliminary
Yvonne M. Spicer,Totals,1938,Mayor,2021,Preliminary
Charlie Sisitsky,Totals,4401,Mayor,2021,Preliminary
Carlos Valadares,Totals,363,Mayor,2021,Preliminary
Write-Ins,Totals,18,Mayor,2021,Preliminary
