Precinct,Total Voter Turnout,Total Registered Voters,Turnout,Election,Year
1,625,2968,0.21,Preliminary,2021
2,705,3437,0.21,Preliminary,2021
3,425,2520,0.17,Preliminary,2021
4,627,2826,0.22,Preliminary,2021
5,553,2724,0.2,Preliminary,2021
6,601,2721,0.22,Preliminary,2021
7,497,2588,0.19,Preliminary,2021
8,452,2561,0.18,Preliminary,2021
9,244,2016,0.12,Preliminary,2021
10,174,1703,0.1,Preliminary,2021
11,631,2953,0.21,Preliminary,2021
12,202,1467,0.14,Preliminary,2021
13,387,2013,0.19,Preliminary,2021
14,146,1613,0.09,Preliminary,2021
15,201,1619,0.12,Preliminary,2021
16,64,1041,0.06,Preliminary,2021
17,47,1262,0.04,Preliminary,2021
18,146,1588,0.09,Preliminary,2021
Total,6727,39620,0.17,Preliminary,2021
