Candidate,Precinct,Votes,Race,Year,Election
Janet Leombruno,1,47,At Large City Councilor,2023,General
Janet Leombruno,2,27,At Large City Councilor,2023,General
Janet Leombruno,3,48,At Large City Councilor,2023,General
Janet Leombruno,4,68,At Large City Councilor,2023,General
Janet Leombruno,5,135,At Large City Councilor,2023,General
Janet Leombruno,6,196,At Large City Councilor,2023,General
Janet Leombruno,7,147,At Large City Councilor,2023,General
Janet Leombruno,8,35,At Large City Councilor,2023,General
Janet Leombruno,9A,95,At Large City Councilor,2023,General
Janet Leombruno,9B,3,At Large City Councilor,2023,General
Janet Leombruno,10,74,At Large City Councilor,2023,General
Janet Leombruno,11,115,At Large City Councilor,2023,General
Janet Leombruno,12,98,At Large City Councilor,2023,General
Janet Leombruno,13,45,At Large City Councilor,2023,General
Janet Leombruno,14,70,At Large City Councilor,2023,General
Janet Leombruno,15,59,At Large City Councilor,2023,General
Janet Leombruno,16,110,At Large City Councilor,2023,General
Janet Leombruno,17,151,At Large City Councilor,2023,General
Janet Leombruno,18,134,At Large City Councilor,2023,General
Janet Leombruno,19,134,At Large City Councilor,2023,General
Janet Leombruno,20,136,At Large City Councilor,2023,General
Janet Leombruno,21A,113,At Large City Councilor,2023,General
Janet Leombruno,21B,75,At Large City Councilor,2023,General
Janet Leombruno,21C,2,At Large City Councilor,2023,General
Janet Leombruno,22,163,At Large City Councilor,2023,General
Janet Leombruno,23,149,At Large City Councilor,2023,General
Janet Leombruno,24,133,At Large City Councilor,2023,General
Janet Leombruno,25,234,At Large City Councilor,2023,General
Janet Leombruno,26,197,At Large City Councilor,2023,General
Janet Leombruno,27,187,At Large City Councilor,2023,General
Janet Leombruno,Total,3180,At Large City Councilor,2023,General
"George P. King, Jr.",1,37,At Large City Councilor,2023,General
"George P. King, Jr.",2,24,At Large City Councilor,2023,General
"George P. King, Jr.",3,42,At Large City Councilor,2023,General
"George P. King, Jr.",4,53,At Large City Councilor,2023,General
"George P. King, Jr.",5,117,At Large City Councilor,2023,General
"George P. King, Jr.",6,175,At Large City Councilor,2023,General
"George P. King, Jr.",7,137,At Large City Councilor,2023,General
"George P. King, Jr.",8,41,At Large City Councilor,2023,General
"George P. King, Jr.",9A,106,At Large City Councilor,2023,General
"George P. King, Jr.",9B,4,At Large City Councilor,2023,General
"George P. King, Jr.",10,66,At Large City Councilor,2023,General
"George P. King, Jr.",11,100,At Large City Councilor,2023,General
"George P. King, Jr.",12,90,At Large City Councilor,2023,General
"George P. King, Jr.",13,36,At Large City Councilor,2023,General
"George P. King, Jr.",14,66,At Large City Councilor,2023,General
"George P. King, Jr.",15,55,At Large City Councilor,2023,General
"George P. King, Jr.",16,114,At Large City Councilor,2023,General
"George P. King, Jr.",17,134,At Large City Councilor,2023,General
"George P. King, Jr.",18,122,At Large City Councilor,2023,General
"George P. King, Jr.",19,127,At Large City Councilor,2023,General
"George P. King, Jr.",20,128,At Large City Councilor,2023,General
"George P. King, Jr.",21A,97,At Large City Councilor,2023,General
"George P. King, Jr.",21B,67,At Large City Councilor,2023,General
"George P. King, Jr.",21C,3,At Large City Councilor,2023,General
"George P. King, Jr.",22,161,At Large City Councilor,2023,General
"George P. King, Jr.",23,142,At Large City Councilor,2023,General
"George P. King, Jr.",24,112,At Large City Councilor,2023,General
"George P. King, Jr.",25,216,At Large City Councilor,2023,General
"George P. King, Jr.",26,196,At Large City Councilor,2023,General
"George P. King, Jr.",27,174,At Large City Councilor,2023,General
"George P. King, Jr.",Total,2942,At Large City Councilor,2023,General
Christine A. Long,22,194,District 1 City Councilor,2023,General
Christine A. Long,23,163,District 1 City Councilor,2023,General
Christine A. Long,24,131,District 1 City Councilor,2023,General
Christine A. Long,Total,488,District 1 City Councilor,2023,General
Brandon Foster Ward,25,261,District 2 City Councilor,2023,General
Brandon Foster Ward,26,232,District 2 City Councilor,2023,General
Brandon Foster Ward,27,193,District 2 City Councilor,2023,General
Brandon Foster Ward,Total,686,District 2 City Councilor,2023,General
Sean C. Silk,25,52,District 2 City Councilor,2023,General
Sean C. Silk,26,38,District 2 City Councilor,2023,General
Sean C. Silk,27,75,District 2 City Councilor,2023,General
Sean C. Silk,Total,165,District 2 City Councilor,2023,General
Adam C. Steiner,19,147,District 3 City Councilor,2023,General
Adam C. Steiner,20,153,District 3 City Councilor,2023,General
Adam C. Steiner,21A,109,District 3 City Councilor,2023,General
Adam C. Steiner,21B,88,District 3 City Councilor,2023,General
Adam C. Steiner,21C,3,District 3 City Councilor,2023,General
Adam C. Steiner,Total,500,District 3 City Councilor,2023,General
Michael P. Cannon,16,119,District 4 City Councilor,2023,General
Michael P. Cannon,17,148,District 4 City Councilor,2023,General
Michael P. Cannon,18,135,District 4 City Councilor,2023,General
Michael P. Cannon,Total,402,District 4 City Councilor,2023,General
Noval A. Alexander,10,74,District 5 City Councilor,2023,General
Noval A. Alexander,11,126,District 5 City Councilor,2023,General
Noval A. Alexander,15,59,District 5 City Councilor,2023,General
Noval A. Alexander,Total,259,District 5 City Councilor,2023,General
"Philip R. Ottaviani, Jr.",7,153,District 6 City Councilor,2023,General
"Philip R. Ottaviani, Jr.",8,41,District 6 City Councilor,2023,General
"Philip R. Ottaviani, Jr.",9A,107,District 6 City Councilor,2023,General
"Philip R. Ottaviani, Jr.",9B,3,District 6 City Councilor,2023,General
"Philip R. Ottaviani, Jr.",Total,304,District 6 City Councilor,2023,General
Leora Rose Mallach,12,129,District 7 City Councilor,2023,General
Leora Rose Mallach,13,52,District 7 City Councilor,2023,General
Leora Rose Mallach,14,82,District 7 City Councilor,2023,General
Leora Rose Mallach,Total,263,District 7 City Councilor,2023,General
Leslie S. White-Harvey,4,52,District 8 City Councilor,2023,General
Leslie S. White-Harvey,5,84,District 8 City Councilor,2023,General
Leslie S. White-Harvey,6,139,District 8 City Councilor,2023,General
Leslie S. White-Harvey,Total,275,District 8 City Councilor,2023,General
John Augusto Stefanini,4,46,District 8 City Councilor,2023,General
John Augusto Stefanini,5,101,District 8 City Councilor,2023,General
John Augusto Stefanini,6,108,District 8 City Councilor,2023,General
