CardNumber,ParcelID,StreetNumber,StreetName,NumofUnits,NumofRooms,NumofBedrooms,ExtType,YearBlt,CurrentBuildingValue,CurrentYardItems,CurrentLandValue,CurrentAcres,FinishedArea,GrossArea,CurrentTotal,SaleDate,SalePrice,LegalReference,Amount,Location 1
1,128-86-0405-000,57,PARK ST,0,NULL,NULL,CHURCH/SYN,1930,160700,3300,116500,0.14348,1200,2400,280500,10/27/2015,199900,66288-169,10000,"57 PARK ST
FRAMINGHAM, MA
(42.278094, -71.419327)"
1,140-73-5888-000,128,CEDAR ST,1,6,3,CONVENT`NL,1920,147100,5600,102300,0.08946,1362,2748,255000,11/01/2013,247000,62877-414,4000,"128 CEDAR ST
FRAMINGHAM, MA
(42.271188, -71.421052)"
1,135-95-0550-000,100,IRVING ST,16,42,14,MIXED USE,1907,530200,0,133400,0.26159,9686,13634,663600,11/30/2015,100,66444-562,,"100 IRVING ST
FRAMINGHAM, MA
(42.275455, -71.415576)"
1,111-50-6594-103,475,FRANKLIN ST,1,5,0,CONDO-OFC,1967,117800,0,0,0,605,605,117800,01/22/1999,661400,29696-487,,"475 FRANKLIN ST
FRAMINGHAM, MA
(42.289267, -71.428213)"
2,135-84-3111-000,14,WAUSHAKUM ST,0,NULL,NULL,WAREHOUSE,1920,223100,12100,140300,0.30966,5096,5096,375500,06/16/2000,300000,31511-616,,"14 WAUSHAKUM ST
FRAMINGHAM, MA
(42.271696, -71.418316)"
1,127-76-8322-000,60,PARK ST,NULL,NULL,NULL,NULL,NULL,0,0,14500,0.092,0,0,14500,01/01/1900,0,16457-472,,"60 PARK ST
FRAMINGHAM, MA
(42.27812, -71.41991)"
2,135-94-3786-000,8,ARLINGTON PL,0,NULL,NULL,REPAIR GAR,1960,133600,11300,168900,0.62603,3225,3225,313800,10/17/2011,100,57648-37,,"8 ARLINGTON PL
FRAMINGHAM, MA
(42.273555, -71.414336)"
1,141-83-7911-000,19,EAMES ST,2,12,6,MULTI-FAM,1902,199000,0,104600,0.20856,2988,5168,303600,12/20/2013,315000,63095-261,,"19 EAMES ST
FRAMINGHAM, MA
(42.27161, -71.416504)"
1,128-96-3703-000,43,FREDERICK ST,6,24,12,4-8 FAMILY,2014,747600,0,113300,0.1123,5268,7024,860900,12/07/2010,705000,56002-322,,"43 FREDERICK ST
FRAMINGHAM, MA
(42.279259, -71.414403)"
1,128-87-3114-000,94,UNION AVE,0,NULL,NULL,RESTAURANT,1945,156600,12800,134800,0.27101,2220,2220,304200,07/23/2010,100,55032-550,2300,"94 UNION AVE
FRAMINGHAM, MA
(42.280394, -71.417914)"
1,128-86-2484-000,40,FRANKLIN ST,0,NULL,NULL,CHURCH/SYN,1900,1428800,8100,163800,0.59917,9865,9865,1600700,04/15/1998,700000,28454-56,,"40 FRANKLIN ST
FRAMINGHAM, MA
(42.278306, -71.417834)"
1,120-69-2963-000,12,ARCH ST,1,4,2,CAPE,1950,124400,6100,153700,0.21534,1113,3447,284200,10/09/2009,324300,53656-367,17860,"12 ARCH ST
FRAMINGHAM, MA
(42.287615, -71.425605)"
1,135-95-0715-000,19,SOUTH ST,0,NULL,NULL,INDUSTRIAL,1920,454500,0,177900,0.57073,6700,6700,632400,06/27/1912,1,03704-0317,49299,"19 SOUTH ST
FRAMINGHAM, MA
(42.276634, -71.415347)"
1,135-94-1016-000,48,PRATT ST RR,NULL,NULL,NULL,NULL,NULL,0,0,122900,1.2371,0,0,122900,06/06/1973,46000,12448-496,18600,"48 PRATT ST RR
FRAMINGHAM, MA
(42.272148, -71.415993)"
1,134-74-4780-000,58,CEDAR ST,2,13,7,MULTI-FAM,1890,189000,0,103500,0.15025,2895.5,4677,292500,08/24/2009,1,53425-594,,"58 CEDAR ST
FRAMINGHAM, MA
(42.273638, -71.421447)"
1,111-60-4959-000,417,UNION AVE,2,12,6,MULTI-TNHS,1976,197600,0,164900,0.64412,2640,3936,362500,03/20/1975,1,12771-88,,"417 UNION AVE
FRAMINGHAM, MA
(42.290389, -71.425648)"
1,128-86-8412-306,79,CONCORD ST,1,4,1,MID RISE,1889,61300,0,0,0,631,631,61300,05/23/2006,1,47490-69,,"79 CONCORD ST
FRAMINGHAM, MA
(42.278264, -71.416768)"
1,120-68-8865-000,3,MELROSE ST,2,13,4,MULTI-FAM,1917,187800,8400,154500,0.24426,2798,4991,350700,01/15/2010,1,54159-187,5000,"3 MELROSE ST
FRAMINGHAM, MA
(42.285078, -71.423619)"
1,134-74-6056-000,33,CHARLES ST,1,6,3,GAMBREL,1917,109900,6400,102800,0.11478,1424.5,2666,219100,10/24/2014,230000,64410-378,,"33 CHARLES ST
FRAMINGHAM, MA
(42.271588, -71.42064)"
1,128-86-8412-101,79,CONCORD ST,1,1,1,CONDO-RTL,1900,47400,0,0,0,480,480,47400,05/23/2006,1,47490-69,15000,"79 CONCORD ST
FRAMINGHAM, MA
(42.278264, -71.416768)"
1,101-72-5326-000,85,STONYBROOK RD,1,7,3,SPLIT LEVL,1973,178900,0,153900,0.22039,1194,2632,332800,07/28/1972,1,12255-480,8000,"85 STONYBROOK RD
FRAMINGHAM, MA
(42.294539, -71.420771)"
1,135-84-3743-202,180,HOLLIS ST,1,5,3,TOWNHOUSE,1930,107400,0,0,0,1000,1011,107400,06/12/2009,80000,52979-508,,"180 HOLLIS ST
FRAMINGHAM, MA
(42.273649, -71.418284)"
